node_uuid,label,subtitle,label_alternative,sort,type,genre,subgenre_audiovisual_materials,subgenre_ephemera,subgenre_manuscripts,subgenre_publications,subgenre_realia,subgenre_visual_materials,name_contributor,edition,name_publisher,date_full,date_note,language,extent,place_of_publication,series_title,volume,issue,general_issue,description,abstract,table_of_contents,building_name,note,provenance,subject_topical,subject_name,subject_geographic,geographic_location,subject_historical_geographic,historical_record_data,ismemberof,ispartof,sequence_id,local_identifier,shelf_location,physical_location,external_video_url,islandora_pid,restrictions_on_access,rights,audios,images,models,videos,documents,texts,as:generator,upload_associated_warcs,ap:entitymapping,as:document,as:image,ap:tasks
f7a167b1-6a92-43f9-8b9e-6a6735ebfdf1,"Mitchell Player interviewed by Monk Rowe, Clinton, New York, January 8, 2012 [transcript only]","[""""]","[""""]",,DigitalDocument,"[""Manuscripts""]","[""""]","[""""]","[""Transcripts""]","[""""]","[""""]","[""""]","[{""agent_type"":""personal"",""label"":""Player, Mitchell"",""uri"":""http://id.loc.gov/authorities/names/no2007086192"",""role_label"":""Interviewee"",""role_uri"":""http://id.loc.gov/vocabulary/relators/ive""},{""agent_type"":""personal"",""label"":""Rowe, Monk"",""uri"":""http://id.loc.gov/authorities/names/no2009147718"",""role_label"":""Interviewer"",""role_uri"":""http://id.loc.gov/vocabulary/relators/ivr""}]","[""""]","[{""agent_type"":""corporate"",""label"":""Hamilton College (Clinton, N.Y.). Fillius Jazz Archive"",""uri"":"""",""role_label"":"""",""role_uri"":""""}]","[""2012-01-08""]","[""""]","[""English""]",1 PDF file,"[""Clinton (N.Y.)""]","[""""]","[""""]","[""""]","[""""]","[""""]","[""""]","[""""]","[""""]","[""""]","[""""]","[{""label"":""jazz"",""uri"":""""},{""label"":""bassists"",""uri"":""""},{""label"":""bass"",""uri"":""""},{""label"":""jazz educators"",""uri"":""""}]","[{""agent_type"":""personal"",""label"":""Player, Mitchell"",""uri"":""http://id.loc.gov/authorities/names/no2007086192""}]","[{""label"":""Clinton (N.Y.)"",""uri"":""http://id.loc.gov/authorities/names/n50057137""}]","{""value"":""Clinton, Manhattan Community Board 4, Manhattan, New York County, New York, 10036, United States"",""lat"":40.7652778,""lng"":-73.993889,""category"":""place"",""display_name"":""Clinton, Manhattan Community Board 4, Manhattan, New York County, New York, 10036, United States"",""osm_id"":158805148,""osm_type"":""node"",""neighbourhood"":""Clinton"",""locality"":"""",""city"":""New York"",""county"":""New York County"",""state_district"":"""",""state"":""New York"",""postcode"":""10036"",""country"":""United States"",""country_code"":""us""}","[""""]","[""""]",250460b1-fdf5-47fd-bf86-97d841361f44,,,"[""yhm-jaz-player-m-2012""]","[""Original digital object name: yhm-jaz-player-m-2012"",""""]","[""""]","[""""]",,There are no restrictions on access to this resource.,"[""""]",[],[361738],[],[],[361893],[],"{""type"":""Create"",""actor"":{""url"":""https://litsdigital.hamilton.edu/amiset/317"",""name"":""ami"",""type"":""Service""},""endTime"":""2025-10-02T10:40:43-04:00"",""summary"":""Generator"",""@context"":""https://www.w3.org/ns/activitystreams""}",[],"{""entity:file"":[""documents"",""audios"",""images"",""models"",""videos"",""texts""],""entity:node"":[""ismemberof"",""ispartof""]}","{""urn:uuid:b1cc8ef5-421a-46b4-a4ec-f7f964586a67"":{""type"":""Document"",""url"":""s3://399/application-yhm-jaz-player-m-2012-b1cc8ef5-421a-46b4-a4ec-f7f964586a67.pdf"",""crypHashFunc"":""md5"",""checksum"":""399d8467ecd7dfa477dbe2a12061788e"",""dr:for"":""documents"",""dr:fid"":361893,""dr:uuid"":""b1cc8ef5-421a-46b4-a4ec-f7f964586a67"",""dr:filesize"":123807,""dr:mimetype"":""application/pdf"",""name"":""yhm-jaz-player-m-2012.pdf"",""tags"":[],""flv:exif"":{""FileSize"":""124 kB"",""XMPToolkit"":""Adobe XMP Core 5.2-c001 63.139439, 2010/09/27-13:37:26        "",""CreatorTool"":""PScript5.dll Version 5.2.2"",""MetadataDate"":""2018:05:25 15:16:39-04:00"",""Format"":""application/pdf"",""Title"":""Microsoft Word - yhm-jaz-player-mitchell.doc"",""Creator"":""pmacdona"",""Producer"":""Acrobat Distiller 10.1.16 (Windows)"",""DocumentID"":""uuid:cf2fc10b-c374-4455-926d-ac0306631298"",""InstanceID"":""uuid:37cfd40d-ff50-440a-b930-afd5c54354ba"",""PDFVersion"":1.5,""Linearized"":""No"",""Author"":""pmacdona"",""CreateDate"":""2018:05:25 15:16:35-04:00"",""ModifyDate"":""2018:05:25 15:16:39-04:00"",""PageCount"":18,""MIMEType"":""application/pdf""},""flv:pronom"":{""pronom_id"":""info:pronom/fmt/19"",""label"":""Acrobat PDF 1.5 - Portable Document Format"",""mimetype"":""application/pdf"",""detection_type"":""signature""},""flv:pdfinfo"":{""1"":{""width"":""612"",""height"":""792"",""rotation"":""0"",""orientation"":""TopLeft""},""2"":{""width"":""612"",""height"":""792"",""rotation"":""0"",""orientation"":""TopLeft""},""3"":{""width"":""612"",""height"":""792"",""rotation"":""0"",""orientation"":""TopLeft""},""4"":{""width"":""612"",""height"":""792"",""rotation"":""0"",""orientation"":""TopLeft""},""5"":{""width"":""612"",""height"":""792"",""rotation"":""0"",""orientation"":""TopLeft""},""6"":{""width"":""612"",""height"":""792"",""rotation"":""0"",""orientation"":""TopLeft""},""7"":{""width"":""612"",""height"":""792"",""rotation"":""0"",""orientation"":""TopLeft""},""8"":{""width"":""612"",""height"":""792"",""rotation"":""0"",""orientation"":""TopLeft""},""9"":{""width"":""612"",""height"":""792"",""rotation"":""0"",""orientation"":""TopLeft""},""10"":{""width"":""612"",""height"":""792"",""rotation"":""0"",""orientation"":""TopLeft""},""11"":{""width"":""612"",""height"":""792"",""rotation"":""0"",""orientation"":""TopLeft""},""12"":{""width"":""612"",""height"":""792"",""rotation"":""0"",""orientation"":""TopLeft""},""13"":{""width"":""612"",""height"":""792"",""rotation"":""0"",""orientation"":""TopLeft""},""14"":{""width"":""612"",""height"":""792"",""rotation"":""0"",""orientation"":""TopLeft""},""15"":{""width"":""612"",""height"":""792"",""rotation"":""0"",""orientation"":""TopLeft""},""16"":{""width"":""612"",""height"":""792"",""rotation"":""0"",""orientation"":""TopLeft""},""17"":{""width"":""612"",""height"":""792"",""rotation"":""0"",""orientation"":""TopLeft""},""18"":{""width"":""612"",""height"":""792"",""rotation"":""0"",""orientation"":""TopLeft""}},""sequence"":1}}","{""urn:uuid:5eaefe19-b625-4aa1-bef8-f08dff95845b"":{""type"":""Image"",""url"":""s3://c39/image-jazzarchivelogo-5eaefe19-b625-4aa1-bef8-f08dff95845b.jpg"",""crypHashFunc"":""md5"",""checksum"":""c39399391f49a8483ad772ccc61512d9"",""dr:for"":""images"",""dr:fid"":361738,""dr:uuid"":""5eaefe19-b625-4aa1-bef8-f08dff95845b"",""dr:filesize"":64220,""dr:mimetype"":""image/jpeg"",""name"":""jazzarchivelogo.jpg"",""tags"":[],""flv:exif"":{""FileSize"":""64 kB"",""ImageSize"":""1219x814"",""ImageWidth"":1219,""ImageHeight"":814,""MIMEType"":""image/jpeg""},""flv:pronom"":{""pronom_id"":""info:pronom/fmt/44"",""label"":""JPEG File Interchange Format"",""mimetype"":""image/jpeg"",""detection_type"":""signature""},""flv:identify"":{""1"":{""format"":""JPEG"",""width"":""1219"",""height"":""814"",""orientation"":""Undefined""}},""sequence"":1}}","{""ap:sortfiles"":""index""}"
a021fa20-b19b-489b-b2d0-db10ae7d1e55,"Jon Jang interviewed by Monk Rowe, Clinton, New York October 9, 2013 [interview 2 of 2] [transcript only]","[""""]","[""""]",,DigitalDocument,"[""Manuscripts""]","[""""]","[""""]","[""Transcripts""]","[""""]","[""""]","[""""]","[{""agent_type"":""personal"",""label"":""Jang, Jon"",""uri"":""http://id.loc.gov/authorities/names/n94066443"",""role_label"":""Interviewee"",""role_uri"":""http://id.loc.gov/vocabulary/relators/ive""},{""agent_type"":""personal"",""label"":""Rowe, Monk"",""uri"":""http://id.loc.gov/authorities/names/no2009147718"",""role_label"":""Interviewer"",""role_uri"":""http://id.loc.gov/vocabulary/relators/ivr""}]","[""""]","[{""agent_type"":""corporate"",""label"":""Hamilton College (Clinton, N.Y.). Fillius Jazz Archive"",""uri"":"""",""role_label"":"""",""role_uri"":""""}]","[""2013-10-09""]","[""""]","[""English""]",1 PDF file,"[""Clinton (N.Y.)""]","[""""]","[""""]","[""""]","[""""]","[""""]","[""""]","[""""]","[""""]","[""""]","[""""]","[{""label"":""jazz"",""uri"":""""},{""label"":""composers"",""uri"":""""},{""label"":""pianos"",""uri"":""""},{""label"":""singers"",""uri"":""""}]","[{""agent_type"":""personal"",""label"":""Jang, Jon"",""uri"":""http://id.loc.gov/authorities/names/n94066443""}]","[{""label"":""Clinton (N.Y.)"",""uri"":""http://id.loc.gov/authorities/names/n50057137""}]","{""value"":""Clinton, Manhattan Community Board 4, Manhattan, New York County, New York, 10036, United States"",""lat"":40.7652778,""lng"":-73.993889,""category"":""place"",""display_name"":""Clinton, Manhattan Community Board 4, Manhattan, New York County, New York, 10036, United States"",""osm_id"":158805148,""osm_type"":""node"",""neighbourhood"":""Clinton"",""locality"":"""",""city"":""New York"",""county"":""New York County"",""state_district"":"""",""state"":""New York"",""postcode"":""10036"",""country"":""United States"",""country_code"":""us""}","[""""]","[""""]",250460b1-fdf5-47fd-bf86-97d841361f44,,,"[""yhm-jaz-jang-j-2013""]","[""Original digital object name: yhm-jaz-jang-j-2013"",""""]","[""""]","[""""]",,There are no restrictions on access to this resource.,"[""""]",[],[361738],[],[],[361865],[],"{""type"":""Create"",""actor"":{""url"":""https://litsdigital.hamilton.edu/amiset/317"",""name"":""ami"",""type"":""Service""},""endTime"":""2025-10-02T10:40:29-04:00"",""summary"":""Generator"",""@context"":""https://www.w3.org/ns/activitystreams""}",[],"{""entity:file"":[""documents"",""audios"",""images"",""models"",""videos"",""texts""],""entity:node"":[""ismemberof"",""ispartof""]}","{""urn:uuid:a1c9ddcf-1507-4a31-9823-63e08ece6ae6"":{""type"":""Document"",""url"":""s3://150/application-yhm-jaz-jang-j-2013-a1c9ddcf-1507-4a31-9823-63e08ece6ae6.pdf"",""crypHashFunc"":""md5"",""checksum"":""150c43f28d66adba8f254b2890fae636"",""dr:for"":""documents"",""dr:fid"":361865,""dr:uuid"":""a1c9ddcf-1507-4a31-9823-63e08ece6ae6"",""dr:filesize"":131439,""dr:mimetype"":""application/pdf"",""name"":""yhm-jaz-jang-j-2013.pdf"",""tags"":[],""flv:exif"":{""FileSize"":""131 kB"",""XMPToolkit"":""Adobe XMP Core 5.2-c001 63.139439, 2010/09/27-13:37:26        "",""CreatorTool"":""PScript5.dll Version 5.2.2"",""MetadataDate"":""2018:05:25 15:13:18-04:00"",""Format"":""application/pdf"",""Title"":""Microsoft Word - yhm-jaz-jang-jon-ii.doc"",""Creator"":""pmacdona"",""Producer"":""Acrobat Distiller 10.1.16 (Windows)"",""DocumentID"":""uuid:f1c3b99c-1ee0-4975-a16f-1b9817c91fcb"",""InstanceID"":""uuid:d1115801-a89a-4714-bbd0-c78d7eb37afd"",""PDFVersion"":1.5,""Linearized"":""No"",""Author"":""pmacdona"",""CreateDate"":""2018:05:25 15:13:14-04:00"",""ModifyDate"":""2018:05:25 15:13:18-04:00"",""PageCount"":19,""MIMEType"":""application/pdf""},""flv:pronom"":{""pronom_id"":""info:pronom/fmt/19"",""label"":""Acrobat PDF 1.5 - Portable Document Format"",""mimetype"":""application/pdf"",""detection_type"":""signature""},""flv:pdfinfo"":{""1"":{""width"":""612"",""height"":""792"",""rotation"":""0"",""orientation"":""TopLeft""},""2"":{""width"":""612"",""height"":""792"",""rotation"":""0"",""orientation"":""TopLeft""},""3"":{""width"":""612"",""height"":""792"",""rotation"":""0"",""orientation"":""TopLeft""},""4"":{""width"":""612"",""height"":""792"",""rotation"":""0"",""orientation"":""TopLeft""},""5"":{""width"":""612"",""height"":""792"",""rotation"":""0"",""orientation"":""TopLeft""},""6"":{""width"":""612"",""height"":""792"",""rotation"":""0"",""orientation"":""TopLeft""},""7"":{""width"":""612"",""height"":""792"",""rotation"":""0"",""orientation"":""TopLeft""},""8"":{""width"":""612"",""height"":""792"",""rotation"":""0"",""orientation"":""TopLeft""},""9"":{""width"":""612"",""height"":""792"",""rotation"":""0"",""orientation"":""TopLeft""},""10"":{""width"":""612"",""height"":""792"",""rotation"":""0"",""orientation"":""TopLeft""},""11"":{""width"":""612"",""height"":""792"",""rotation"":""0"",""orientation"":""TopLeft""},""12"":{""width"":""612"",""height"":""792"",""rotation"":""0"",""orientation"":""TopLeft""},""13"":{""width"":""612"",""height"":""792"",""rotation"":""0"",""orientation"":""TopLeft""},""14"":{""width"":""612"",""height"":""792"",""rotation"":""0"",""orientation"":""TopLeft""},""15"":{""width"":""612"",""height"":""792"",""rotation"":""0"",""orientation"":""TopLeft""},""16"":{""width"":""612"",""height"":""792"",""rotation"":""0"",""orientation"":""TopLeft""},""17"":{""width"":""612"",""height"":""792"",""rotation"":""0"",""orientation"":""TopLeft""},""18"":{""width"":""612"",""height"":""792"",""rotation"":""0"",""orientation"":""TopLeft""},""19"":{""width"":""612"",""height"":""792"",""rotation"":""0"",""orientation"":""TopLeft""}},""sequence"":1}}","{""urn:uuid:5eaefe19-b625-4aa1-bef8-f08dff95845b"":{""type"":""Image"",""url"":""s3://c39/image-jazzarchivelogo-5eaefe19-b625-4aa1-bef8-f08dff95845b.jpg"",""crypHashFunc"":""md5"",""checksum"":""c39399391f49a8483ad772ccc61512d9"",""dr:for"":""images"",""dr:fid"":361738,""dr:uuid"":""5eaefe19-b625-4aa1-bef8-f08dff95845b"",""dr:filesize"":64220,""dr:mimetype"":""image/jpeg"",""name"":""jazzarchivelogo.jpg"",""tags"":[],""flv:exif"":{""FileSize"":""64 kB"",""ImageSize"":""1219x814"",""ImageWidth"":1219,""ImageHeight"":814,""MIMEType"":""image/jpeg""},""flv:pronom"":{""pronom_id"":""info:pronom/fmt/44"",""label"":""JPEG File Interchange Format"",""mimetype"":""image/jpeg"",""detection_type"":""signature""},""flv:identify"":{""1"":{""format"":""JPEG"",""width"":""1219"",""height"":""814"",""orientation"":""Undefined""}},""sequence"":1}}","{""ap:sortfiles"":""index""}"
0ff91e13-283b-44d2-a9d1-5b06495ccdae,"Joe Magnarelli interviewed by Monk Rowe, Utica, New York, April 25, 2010 [transcript only]","[""""]","[""""]",,DigitalDocument,"[""Manuscripts""]","[""""]","[""""]","[""Transcripts""]","[""""]","[""""]","[""""]","[{""agent_type"":""personal"",""label"":""Magnarelli, Joe"",""uri"":""http://id.loc.gov/authorities/names/no98120180"",""role_label"":""Interviewee"",""role_uri"":""http://id.loc.gov/vocabulary/relators/ive""},{""agent_type"":""personal"",""label"":""Rowe, Monk"",""uri"":""http://id.loc.gov/authorities/names/no2009147718"",""role_label"":""Interviewer"",""role_uri"":""http://id.loc.gov/vocabulary/relators/ivr""}]","[""""]","[{""agent_type"":""corporate"",""label"":""Hamilton College (Clinton, N.Y.). Fillius Jazz Archive"",""uri"":"""",""role_label"":"""",""role_uri"":""""}]","[""2010-04-25""]","[""""]","[""English""]",1 PDF file,"[""Clinton (N.Y.)""]","[""""]","[""""]","[""""]","[""""]","[""""]","[""""]","[""""]","[""""]","[""""]","[""""]","[{""label"":""jazz"",""uri"":""""},{""label"":""trumpet players"",""uri"":""""},{""label"":""trumpets"",""uri"":""""}]","[{""agent_type"":""personal"",""label"":""Magnarelli, Joe"",""uri"":""http://id.loc.gov/authorities/names/no98120180""}]","[{""label"":""Utica (N.Y.)"",""uri"":""http://id.loc.gov/authorities/names/n80019525""}]","{""value"":""City of Utica, Oneida County, New York, United States"",""lat"":43.1009031,""lng"":-75.2326641,""category"":""boundary"",""display_name"":""City of Utica, Oneida County, New York, United States"",""osm_id"":175487,""osm_type"":""relation"",""neighbourhood"":"""",""locality"":"""",""city"":""City of Utica"",""county"":""Oneida County"",""state_district"":"""",""state"":""New York"",""postcode"":"""",""country"":""United States"",""country_code"":""us""}","[""""]","[""""]",250460b1-fdf5-47fd-bf86-97d841361f44,,,"[""yhm-jaz-magnarelli-j-2010""]","[""Original digital object name: yhm-jaz-magnarelli-j-2010"",""Hamilton College Library"",""Jazz DVD ML3508.5 .M22 2010""]","[""""]","[""""]",,There are no restrictions on access to this resource.,"[""""]",[],[361738],[],[],[361861],[],"{""type"":""Create"",""actor"":{""url"":""https://litsdigital.hamilton.edu/amiset/317"",""name"":""ami"",""type"":""Service""},""endTime"":""2025-10-02T10:40:26-04:00"",""summary"":""Generator"",""@context"":""https://www.w3.org/ns/activitystreams""}",[],"{""entity:file"":[""documents"",""audios"",""images"",""models"",""videos"",""texts""],""entity:node"":[""ismemberof"",""ispartof""]}","{""urn:uuid:9d33516a-2ea4-4f35-898e-1e4a123977d4"":{""type"":""Document"",""url"":""s3://ecb/application-yhm-jaz-magnarelli-j-2010-9d33516a-2ea4-4f35-898e-1e4a123977d4.pdf"",""crypHashFunc"":""md5"",""checksum"":""ecb4967d38692357ce431fdd0fdc1f0f"",""dr:for"":""documents"",""dr:fid"":361861,""dr:uuid"":""9d33516a-2ea4-4f35-898e-1e4a123977d4"",""dr:filesize"":112452,""dr:mimetype"":""application/pdf"",""name"":""yhm-jaz-magnarelli-j-2010.pdf"",""tags"":[],""flv:exif"":{""FileSize"":""112 kB"",""XMPToolkit"":""Adobe XMP Core 5.2-c001 63.139439, 2010/09/27-13:37:26        "",""CreatorTool"":""PScript5.dll Version 5.2.2"",""MetadataDate"":""2018:05:25 15:14:38-04:00"",""Format"":""application/pdf"",""Title"":""Microsoft Word - yhm-jaz-magnarelli-joe.doc"",""Creator"":""pmacdona"",""Producer"":""Acrobat Distiller 10.1.16 (Windows)"",""DocumentID"":""uuid:29379a45-8c9d-4c80-9f4a-c24272c1aa29"",""InstanceID"":""uuid:031d3a0b-45fa-4e20-94cd-ac680e914395"",""PDFVersion"":1.5,""Linearized"":""No"",""Author"":""pmacdona"",""CreateDate"":""2018:05:25 15:14:34-04:00"",""ModifyDate"":""2018:05:25 15:14:38-04:00"",""PageCount"":15,""MIMEType"":""application/pdf""},""flv:pronom"":{""pronom_id"":""info:pronom/fmt/19"",""label"":""Acrobat PDF 1.5 - Portable Document Format"",""mimetype"":""application/pdf"",""detection_type"":""signature""},""flv:pdfinfo"":{""1"":{""width"":""612"",""height"":""792"",""rotation"":""0"",""orientation"":""TopLeft""},""2"":{""width"":""612"",""height"":""792"",""rotation"":""0"",""orientation"":""TopLeft""},""3"":{""width"":""612"",""height"":""792"",""rotation"":""0"",""orientation"":""TopLeft""},""4"":{""width"":""612"",""height"":""792"",""rotation"":""0"",""orientation"":""TopLeft""},""5"":{""width"":""612"",""height"":""792"",""rotation"":""0"",""orientation"":""TopLeft""},""6"":{""width"":""612"",""height"":""792"",""rotation"":""0"",""orientation"":""TopLeft""},""7"":{""width"":""612"",""height"":""792"",""rotation"":""0"",""orientation"":""TopLeft""},""8"":{""width"":""612"",""height"":""792"",""rotation"":""0"",""orientation"":""TopLeft""},""9"":{""width"":""612"",""height"":""792"",""rotation"":""0"",""orientation"":""TopLeft""},""10"":{""width"":""612"",""height"":""792"",""rotation"":""0"",""orientation"":""TopLeft""},""11"":{""width"":""612"",""height"":""792"",""rotation"":""0"",""orientation"":""TopLeft""},""12"":{""width"":""612"",""height"":""792"",""rotation"":""0"",""orientation"":""TopLeft""},""13"":{""width"":""612"",""height"":""792"",""rotation"":""0"",""orientation"":""TopLeft""},""14"":{""width"":""612"",""height"":""792"",""rotation"":""0"",""orientation"":""TopLeft""},""15"":{""width"":""612"",""height"":""792"",""rotation"":""0"",""orientation"":""TopLeft""}},""sequence"":1}}","{""urn:uuid:5eaefe19-b625-4aa1-bef8-f08dff95845b"":{""type"":""Image"",""url"":""s3://c39/image-jazzarchivelogo-5eaefe19-b625-4aa1-bef8-f08dff95845b.jpg"",""crypHashFunc"":""md5"",""checksum"":""c39399391f49a8483ad772ccc61512d9"",""dr:for"":""images"",""dr:fid"":361738,""dr:uuid"":""5eaefe19-b625-4aa1-bef8-f08dff95845b"",""dr:filesize"":64220,""dr:mimetype"":""image/jpeg"",""name"":""jazzarchivelogo.jpg"",""tags"":[],""flv:exif"":{""FileSize"":""64 kB"",""ImageSize"":""1219x814"",""ImageWidth"":1219,""ImageHeight"":814,""MIMEType"":""image/jpeg""},""flv:pronom"":{""pronom_id"":""info:pronom/fmt/44"",""label"":""JPEG File Interchange Format"",""mimetype"":""image/jpeg"",""detection_type"":""signature""},""flv:identify"":{""1"":{""format"":""JPEG"",""width"":""1219"",""height"":""814"",""orientation"":""Undefined""}},""sequence"":1}}","{""ap:sortfiles"":""index""}"
69bc2394-e9e2-4ea8-94e6-66cd98b1410e,"Jay Leonhart interviewed by Monk Rowe, New Hartford, New York, September 27, 2013 [interview 2 of 2] [transcript only]","[""""]","[""""]",,DigitalDocument,"[""Manuscripts""]","[""""]","[""""]","[""Transcripts""]","[""""]","[""""]","[""""]","[{""agent_type"":""personal"",""label"":""Leonhart, Jay"",""uri"":""http://id.loc.gov/authorities/names/n85173079"",""role_label"":""Interviewee"",""role_uri"":""http://id.loc.gov/vocabulary/relators/ive""},{""agent_type"":""personal"",""label"":""Rowe, Monk"",""uri"":""http://id.loc.gov/authorities/names/no2009147718"",""role_label"":""Interviewer"",""role_uri"":""http://id.loc.gov/vocabulary/relators/ivr""}]","[""""]","[{""agent_type"":""corporate"",""label"":""Hamilton College (Clinton, N.Y.). Fillius Jazz Archive"",""uri"":"""",""role_label"":"""",""role_uri"":""""}]","[""2013-09-27""]","[""""]","[""English""]",1 PDF file,"[""Clinton (N.Y.)""]","[""""]","[""""]","[""""]","[""""]","[""""]","[""""]","[""""]","[""""]","[""""]","[""""]","[{""label"":""jazz"",""uri"":""""},{""label"":""song writers"",""uri"":""""},{""label"":""bassists"",""uri"":""""},{""label"":""bass"",""uri"":""""}]","[{""agent_type"":""personal"",""label"":""Leonhart, Jay"",""uri"":""http://id.loc.gov/authorities/names/n85173079""}]","[{""label"":""New Hartford (N.Y.)"",""uri"":""http://id.loc.gov/authorities/names/n91047049""}]","{""value"":""Town of New Hartford, Oneida County, New York, United States"",""lat"":43.073653,""lng"":-75.287933,""category"":""boundary"",""display_name"":""Town of New Hartford, Oneida County, New York, United States"",""osm_id"":3669582,""osm_type"":""relation"",""neighbourhood"":"""",""locality"":""Town of New Hartford"",""city"":"""",""county"":""Oneida County"",""state_district"":"""",""state"":""New York"",""postcode"":"""",""country"":""United States"",""country_code"":""us""}","[""""]","[""""]",250460b1-fdf5-47fd-bf86-97d841361f44,,,"[""yhm-jaz-leonhart-j-2013""]","[""Original digital object name: yhm-jaz-leonhart-j-2013"",""Hamilton College Library"",""Jazz DVD ML3508.5 .L45 2015""]","[""""]","[""""]",,There are no restrictions on access to this resource.,"[""""]",[],[361852],[],[],[361851],[],"{""type"":""Create"",""actor"":{""url"":""https://litsdigital.hamilton.edu/amiset/317"",""name"":""ami"",""type"":""Service""},""endTime"":""2025-10-02T10:40:21-04:00"",""summary"":""Generator"",""@context"":""https://www.w3.org/ns/activitystreams""}",[],"{""entity:file"":[""documents"",""audios"",""images"",""models"",""videos"",""texts""],""entity:node"":[""ismemberof"",""ispartof""]}","{""urn:uuid:0b0b18d1-7936-4978-8da8-eed56267615c"":{""type"":""Document"",""url"":""s3://2ec/application-yhm-jaz-leonhart-j-2013-0b0b18d1-7936-4978-8da8-eed56267615c.pdf"",""crypHashFunc"":""md5"",""checksum"":""2ec184115b2fc5afba080fb5559ee57f"",""dr:for"":""documents"",""dr:fid"":361851,""dr:uuid"":""0b0b18d1-7936-4978-8da8-eed56267615c"",""dr:filesize"":266278,""dr:mimetype"":""application/pdf"",""name"":""yhm-jaz-leonhart-j-2013.pdf"",""tags"":[],""flv:exif"":{""FileSize"":""266 kB"",""PDFVersion"":1.3,""Linearized"":""No"",""PageCount"":16,""EmbeddedImageWidth"":427,""EmbeddedImageHeight"":218,""EmbeddedImageColorSpace"":""ICCBased"",""EmbeddedImageFilter"":""FlateDecode"",""Title"":""Jay Leonhart"",""Author"":""R. E. Britell"",""Subject"":"""",""Producer"":""Mac OS X 10.12.6 Quartz PDFContext"",""Creator"":""Word"",""CreateDate"":""2024:02:05 18:47:27Z"",""ModifyDate"":""2024:02:05 18:47:27Z"",""AppleKeywords"":"""",""MIMEType"":""application/pdf""},""flv:pronom"":{""pronom_id"":""info:pronom/fmt/17"",""label"":""Acrobat PDF 1.3 - Portable Document Format"",""mimetype"":""application/pdf"",""detection_type"":""signature""},""flv:pdfinfo"":{""1"":{""width"":""612"",""height"":""792"",""rotation"":""0"",""orientation"":""TopLeft""},""2"":{""width"":""612"",""height"":""792"",""rotation"":""0"",""orientation"":""TopLeft""},""3"":{""width"":""612"",""height"":""792"",""rotation"":""0"",""orientation"":""TopLeft""},""4"":{""width"":""612"",""height"":""792"",""rotation"":""0"",""orientation"":""TopLeft""},""5"":{""width"":""612"",""height"":""792"",""rotation"":""0"",""orientation"":""TopLeft""},""6"":{""width"":""612"",""height"":""792"",""rotation"":""0"",""orientation"":""TopLeft""},""7"":{""width"":""612"",""height"":""792"",""rotation"":""0"",""orientation"":""TopLeft""},""8"":{""width"":""612"",""height"":""792"",""rotation"":""0"",""orientation"":""TopLeft""},""9"":{""width"":""612"",""height"":""792"",""rotation"":""0"",""orientation"":""TopLeft""},""10"":{""width"":""612"",""height"":""792"",""rotation"":""0"",""orientation"":""TopLeft""},""11"":{""width"":""612"",""height"":""792"",""rotation"":""0"",""orientation"":""TopLeft""},""12"":{""width"":""612"",""height"":""792"",""rotation"":""0"",""orientation"":""TopLeft""},""13"":{""width"":""612"",""height"":""792"",""rotation"":""0"",""orientation"":""TopLeft""},""14"":{""width"":""612"",""height"":""792"",""rotation"":""0"",""orientation"":""TopLeft""},""15"":{""width"":""612"",""height"":""792"",""rotation"":""0"",""orientation"":""TopLeft""},""16"":{""width"":""612"",""height"":""792"",""rotation"":""0"",""orientation"":""TopLeft""}},""sequence"":1}}","{""urn:uuid:99051141-a23d-4ec6-90b4-04e9e900e742"":{""type"":""Image"",""url"":""s3://e9b/image-yhm-jaz-leonhart-j-2013-99051141-a23d-4ec6-90b4-04e9e900e742.jpg"",""crypHashFunc"":""md5"",""checksum"":""e9bf15cf752ea0474ad63c40b71abf9e"",""dr:for"":""images"",""dr:fid"":361852,""dr:uuid"":""99051141-a23d-4ec6-90b4-04e9e900e742"",""dr:filesize"":127592,""dr:mimetype"":""image/jpeg"",""name"":""yhm-jaz-leonhart-j-2013.jpg"",""tags"":[],""flv:exif"":{""FileSize"":""128 kB"",""ImageSize"":""363x434"",""ImageWidth"":363,""ImageHeight"":434,""MIMEType"":""image/jpeg""},""flv:pronom"":{""pronom_id"":""info:pronom/fmt/43"",""label"":""JPEG File Interchange Format"",""mimetype"":""image/jpeg"",""detection_type"":""signature""},""flv:identify"":{""1"":{""format"":""JPEG"",""width"":""363"",""height"":""434"",""orientation"":""Undefined""}},""sequence"":1}}","{""ap:sortfiles"":""index""}"
